unix,date,symbol,open,high,low,close,Volume AAVE,Volume USD
1649347200,2022-04-07 16:00:00,AAVE/USD,198.39,199.00,198.39,198.98,86.34168651,17180.268781759798
1649343600,2022-04-07 15:00:00,AAVE/USD,196.43,196.43,194.27,195.28,386.79636184,75533.5935401152
1649340000,2022-04-07 14:00:00,AAVE/USD,201.27,201.27,197.62,197.62,78.04205637,15422.671179839399
1649336400,2022-04-07 13:00:00,AAVE/USD,201.83,201.83,201.64,201.64,0.50604726,102.03936950639999
1649332800,2022-04-07 12:00:00,AAVE/USD,204.91,206.70,204.91,205.57,40.82495778,8392.3865708346
1649329200,2022-04-07 11:00:00,AAVE/USD,199.61,204.14,199.61,204.14,244.73056723,49959.29799433219
1649325600,2022-04-07 10:00:00,AAVE/USD,201.01,201.03,201.01,201.03,0.31523131,63.370950249299995
1649322000,2022-04-07 09:00:00,AAVE/USD,200.93,201.14,199.50,201.14,22.94926567,4616.015296863799
1649318400,2022-04-07 08:00:00,AAVE/USD,203.23,203.23,201.26,201.26,29.54882332,5946.9961813832
1649314800,2022-04-07 07:00:00,AAVE/USD,204.80,205.50,203.87,204.06,68.48562739,13975.177125203401
1649311200,2022-04-07 06:00:00,AAVE/USD,202.47,202.47,202.36,202.36,0.15291447,30.9437721492
1649307600,2022-04-07 05:00:00,AAVE/USD,200.83,200.83,200.83,200.83,0.00000000,0.0
1649304000,2022-04-07 04:00:00,AAVE/USD,201.16,201.34,200.41,200.83,30.56004023,6137.3728793909
1649300400,2022-04-07 03:00:00,AAVE/USD,199.25,200.51,198.84,198.84,9.75422300,1939.52970132
1649296800,2022-04-07 02:00:00,AAVE/USD,204.38,204.38,200.44,200.44,7.90039374,1583.5549212456
1649293200,2022-04-07 01:00:00,AAVE/USD,194.93,203.48,194.93,203.48,102.94185457,20946.6085679036
1649289600,2022-04-07 00:00:00,AAVE/USD,191.97,193.86,191.97,192.30,42.68175197,8207.700903831
1649286000,2022-04-06 23:00:00,AAVE/USD,192.00,192.23,191.37,192.23,32.86330420,6317.312966366
1649282400,2022-04-06 22:00:00,AAVE/USD,197.70,197.71,197.70,197.71,0.19349514,38.2559241294
1649278800,2022-04-06 21:00:00,AAVE/USD,198.23,198.23,198.23,198.23,0.00000000,0.0
1649275200,2022-04-06 20:00:00,AAVE/USD,198.44,198.44,197.38,198.23,321.66576404,63763.8044056492
1649271600,2022-04-06 19:00:00,AAVE/USD,199.76,199.97,196.41,197.18,525.51256822,103620.56820161961
1649268000,2022-04-06 18:00:00,AAVE/USD,196.94,197.98,193.62,197.98,437.10227111,86537.5076343578
1649264400,2022-04-06 17:00:00,AAVE/USD,193.67,193.83,193.21,193.83,57.52684382,11150.4281376306
1649260800,2022-04-06 16:00:00,AAVE/USD,199.39,199.40,193.67,195.94,124.21838601,24339.3505547994
1649257200,2022-04-06 15:00:00,AAVE/USD,200.23,200.34,194.73,197.75,260.39222053,51492.5616098075
1649253600,2022-04-06 14:00:00,AAVE/USD,203.43,203.58,198.94,202.77,45.18113583,9161.378912249102
1649250000,2022-04-06 13:00:00,AAVE/USD,211.48,211.48,202.64,203.81,91.87595110,18725.237593691
1649246400,2022-04-06 12:00:00,AAVE/USD,210.37,210.37,210.37,210.37,3.00000000,631.11
1649242800,2022-04-06 11:00:00,AAVE/USD,210.73,210.73,207.59,210.00,26.56149079,5577.9130659
1649239200,2022-04-06 10:00:00,AAVE/USD,212.35,213.16,211.01,213.16,53.24953737,11350.6713857892
1649235600,2022-04-06 09:00:00,AAVE/USD,214.18,214.18,213.72,213.74,18.20733839,3891.6365074786004
1649232000,2022-04-06 08:00:00,AAVE/USD,214.32,214.32,214.32,214.32,4.73334845,1014.451239804
1649228400,2022-04-06 07:00:00,AAVE/USD,216.67,217.44,216.67,216.70,6.15527463,1333.848012321
1649224800,2022-04-06 06:00:00,AAVE/USD,216.23,216.23,214.16,215.86,46.67633702,10075.5541091372
1649221200,2022-04-06 05:00:00,AAVE/USD,214.85,215.99,214.85,215.57,53.57187637,11548.4893890809
1649217600,2022-04-06 04:00:00,AAVE/USD,211.27,211.27,210.72,210.72,36.20991703,7630.1537165616
1649214000,2022-04-06 03:00:00,AAVE/USD,213.21,213.21,213.21,213.21,4.11666566,877.7142853686
1649210400,2022-04-06 02:00:00,AAVE/USD,213.04,215.57,212.91,213.95,6.82747084,1460.737386218
1649206800,2022-04-06 01:00:00,AAVE/USD,212.44,213.98,212.44,213.45,15.96716605,3408.1915933724995
1649203200,2022-04-06 00:00:00,AAVE/USD,220.68,220.68,209.30,212.35,101.14783949,21478.743715701497
1649199600,2022-04-05 23:00:00,AAVE/USD,223.94,224.81,221.34,221.34,1.79587996,397.5000703464
1649196000,2022-04-05 22:00:00,AAVE/USD,223.99,225.28,223.80,224.50,9.77339719,2194.127669155
1649192400,2022-04-05 21:00:00,AAVE/USD,223.72,224.93,223.67,224.75,31.20126909,7012.4852279775005
1649188800,2022-04-05 20:00:00,AAVE/USD,225.72,225.72,225.00,225.00,115.76391304,26046.880434000002
1649185200,2022-04-05 19:00:00,AAVE/USD,224.49,224.61,222.29,224.61,15.76046079,3539.9570980419003
1649181600,2022-04-05 18:00:00,AAVE/USD,227.52,227.52,227.42,227.42,0.34800000,79.14215999999999
1649178000,2022-04-05 17:00:00,AAVE/USD,227.94,228.42,227.94,228.26,1.50834851,344.2956308926
1649174400,2022-04-05 16:00:00,AAVE/USD,226.39,229.02,226.14,227.28,2.52860160,574.700571648
1649170800,2022-04-05 15:00:00,AAVE/USD,227.70,228.30,227.07,227.20,58.40151355,13268.823878559999
1649167200,2022-04-05 14:00:00,AAVE/USD,229.96,230.26,226.76,227.45,76.34315404,17364.250386398
1649163600,2022-04-05 13:00:00,AAVE/USD,231.00,231.16,228.98,231.10,5.33831087,1233.683642057
1649160000,2022-04-05 12:00:00,AAVE/USD,233.24,234.55,232.41,232.41,33.35234220,7751.417850702001
1649156400,2022-04-05 11:00:00,AAVE/USD,230.41,230.41,230.41,230.41,0.00000000,0.0
1649152800,2022-04-05 10:00:00,AAVE/USD,230.56,230.88,230.17,230.41,105.20696590,24240.737013019
1649149200,2022-04-05 09:00:00,AAVE/USD,232.95,233.03,232.87,233.03,0.36796121,85.7460007663
1649145600,2022-04-05 08:00:00,AAVE/USD,234.57,234.57,232.96,233.36,1.75000000,408.38
1649142000,2022-04-05 07:00:00,AAVE/USD,234.26,235.22,234.26,235.22,3.05531374,718.6708979228
1649138400,2022-04-05 06:00:00,AAVE/USD,235.31,235.34,233.82,233.82,0.92700000,216.75114
1649134800,2022-04-05 05:00:00,AAVE/USD,237.80,237.80,236.41,236.41,24.10466716,5698.5843632956
1649131200,2022-04-05 04:00:00,AAVE/USD,236.23,236.25,235.96,235.96,27.72300000,6541.51908
1649127600,2022-04-05 03:00:00,AAVE/USD,236.12,236.12,236.12,236.12,0.00000000,0.0
1649124000,2022-04-05 02:00:00,AAVE/USD,236.02,236.46,236.02,236.12,9.27872396,2190.8923014352004
1649120400,2022-04-05 01:00:00,AAVE/USD,235.86,235.86,235.33,235.69,0.87428504,206.06024107759998
1649116800,2022-04-05 00:00:00,AAVE/USD,236.79,236.79,235.36,235.56,1.78000000,419.2968
1649113200,2022-04-04 23:00:00,AAVE/USD,240.13,241.23,238.47,238.47,77.44290117,18467.8086420099
1649109600,2022-04-04 22:00:00,AAVE/USD,238.88,240.13,238.66,240.13,2.15835003,518.2845927039
1649106000,2022-04-04 21:00:00,AAVE/USD,238.92,239.90,238.92,239.58,287.12188673,68788.6616227734
1649102400,2022-04-04 20:00:00,AAVE/USD,236.00,239.18,236.00,238.48,11.12359603,2652.7551812344
1649098800,2022-04-04 19:00:00,AAVE/USD,235.42,236.87,233.68,236.87,0.54445181,128.9643002347
1649095200,2022-04-04 18:00:00,AAVE/USD,228.67,234.68,227.74,234.68,18.13149855,4255.1000797140005
1649091600,2022-04-04 17:00:00,AAVE/USD,229.62,230.28,225.81,228.28,8.34751709,1905.5712013052
1649088000,2022-04-04 16:00:00,AAVE/USD,227.59,229.94,227.59,229.94,1.82448961,419.52314092340004
1649084400,2022-04-04 15:00:00,AAVE/USD,230.62,230.62,228.66,229.15,33.36440359,7645.453082648501
1649080800,2022-04-04 14:00:00,AAVE/USD,234.80,235.02,230.48,230.58,3.69452910,851.884519878
1649077200,2022-04-04 13:00:00,AAVE/USD,234.44,235.03,233.48,235.03,13.79316227,3241.8069283181
1649073600,2022-04-04 12:00:00,AAVE/USD,236.57,236.57,235.22,235.22,9.83471397,2313.3214200233997
1649070000,2022-04-04 11:00:00,AAVE/USD,237.02,237.80,237.00,237.44,2.14335654,508.91857685760004
1649066400,2022-04-04 10:00:00,AAVE/USD,235.61,237.13,235.61,237.13,5.00184858,1186.0883537754
